return_id,order_id,return_date,reason,source_system
R0000262,99999999,2023-06-29,Complaint,SRC_70
R0000263,99999999,18-08-2024,,SRC_150
R0000264,99999999,October 30 2021,,SRC_133
R0000265,147574,03-09-2023,Defect,SRC_212
R0000266,109514,2023.08.21,Defect,SRC_127
R0000267,99999999,2023.04.08,,SRC_25
R0000268,99999999,2023.02.10,,SRC_33
R0000269,99999999,08/04/2024,Wrong item,SRC_139
R0000270,99999999,2022.01.01,Complaint,SRC_247
R0000271,99999999,2021.10.11,,SRC_21
R0000272,99999999,January 12 2023,Defect,SRC_132
R0000273,139071,23/10/2023,,SRC_6
R0000274,99999999,July 21 2021,,SRC_116
R0000275,99999999,14-10-2021,Defect,SRC_83
R0000276,138720,March 17 2024,Defect,SRC_97
R0000277,99999999,16/06/2021,,SRC_227
R0000278,99999999,2022-08-06,,SRC_110
R0000279,99999999,June 25 2022,,SRC_162
R0000280,124722,26-01-2021,,SRC_199
R0000281,99999999,August 26 2024,Wrong item,SRC_28
R0000282,99999999,22-06-2022,Defect,SRC_189
R0000283,145975,2022.06.08,,SRC_42
R0000284,141937,December 20 2024,Wrong item,SRC_145
R0000285,99999999,2021/07/15,Wrong item,SRC_197
R0000286,99999999,2022/11/06,,SRC_63
R0000287,99999999,11-11-2023,,SRC_181
R0000288,139703,19/11/2024,,SRC_107
R0000289,101701,2024-09-01,Defect,SRC_160
R0000290,99999999,2021/06/13,Wrong item,SRC_110
R0000291,99999999,16/12/2023,Complaint,SRC_246
R0000292,148268,09/05/2022,,SRC_110
R0000293,143116,2021/06/28,Defect,SRC_202
R0000294,149149,14-10-2021,,SRC_198
R0000295,99999999,July 13 2022,Complaint,SRC_181
R0000296,99999999,12-07-2024,,SRC_215
R0000297,99999999,2024-09-16,Complaint,SRC_238
R0000298,106256,07-10-2023,Defect,SRC_101
R0000299,99999999,16/07/2021,,SRC_45
R0000300,117052,10-05-2023,,SRC_42
R0000301,99999999,29-06-2022,Complaint,SRC_212
R0000302,144058,03/01/2021,Complaint,SRC_199
R0000303,104898,September 12 2024,,SRC_112
R0000304,123091,June 14 2024,Wrong item,SRC_63
R0000305,99999999,2021/02/08,,SRC_171
R0000306,99999999,2022.09.01,Complaint,SRC_124
R0000307,99999999,November 19 2024,Complaint,SRC_48
R0000308,148113,October 25 2021,,SRC_68
R0000309,99999999,September 28 2022,Complaint,SRC_98
R0000310,99999999,2022.10.01,,SRC_219
R0000311,112743,2024-11-19,Defect,SRC_37
R0000312,120842,2023.04.19,,SRC_222
R0000313,99999999,2024-10-15,Wrong item,SRC_93
R0000314,144026,2024.03.04,,SRC_5
R0000315,99999999,2022-11-18,Wrong item,SRC_22
R0000316,99999999,2024-12-03,,SRC_42
R0000317,116250,2021.01.12,,SRC_217
R0000318,129043,February 08 2023,,SRC_240
R0000319,137580,2021/11/01,Wrong item,SRC_158
R0000320,99999999,March 14 2024,Defect,SRC_161
R0000321,117478,25-07-2023,Wrong item,SRC_75
R0000322,99999999,21/03/2021,Defect,SRC_24
R0000323,99999999,November 04 2021,Wrong item,SRC_209
R0000324,99999999,2022-05-05,Defect,SRC_16
R0000325,135440,2024-06-09,Defect,SRC_190
R0000326,110707,2024/08/24,Complaint,SRC_99
R0000327,99999999,2022-08-24,,SRC_68
R0000328,133509,2021-11-03,,SRC_105
R0000329,99999999,2021-02-04,Defect,SRC_207
R0000330,99999999,02/01/2022,Defect,SRC_204
R0000331,99999999,2021/11/26,,SRC_25
R0000332,99999999,2023/07/24,Wrong item,SRC_59
R0000333,99999999,2024-04-03,Wrong item,SRC_108
R0000334,99999999,2022-11-03,,SRC_116
R0000335,119637,2024-08-30,Complaint,SRC_38
R0000336,116250,2021-02-20,Wrong item,SRC_85
R0000337,99999999,2021.04.06,,SRC_144
R0000338,123356,2022-03-13,Complaint,SRC_170
R0000339,103122,2023/03/28,Wrong item,SRC_64
R0000340,99999999,07-03-2022,,SRC_36
R0000341,99999999,2021-08-13,,SRC_14
R0000342,99999999,August 13 2021,,SRC_153
R0000343,99999999,2023/08/02,Wrong item,SRC_20
R0000344,99999999,September 07 2024,,SRC_26
R0000345,104191,January 30 2024,,SRC_216
R0000346,99999999,2023/01/06,,SRC_63
R0000347,133522,2023.08.18,Defect,SRC_51
R0000348,116550,2021.06.01,Defect,SRC_138
R0000349,140983,25-06-2022,Defect,SRC_180
R0000350,99999999,02/04/2022,Complaint,SRC_90
R0000351,99999999,2023.03.02,Wrong item,SRC_54
R0000352,140610,18/12/2024,Wrong item,SRC_49
R0000353,140856,22-11-2021,,SRC_166
R0000354,99999999,2022.07.02,Defect,SRC_40
R0000355,120917,2021/12/05,Complaint,SRC_36
R0000356,111541,2021.04.20,Defect,SRC_166
R0000357,132035,2021-02-17,,SRC_16
R0000358,122883,14/09/2021,,SRC_234
R0000359,99999999,2022/07/31,,SRC_63
R0000360,99999999,10-08-2024,Wrong item,SRC_225
R0000361,113797,2023-02-26,Complaint,SRC_108
R0000362,117643,2022/09/12,Defect,SRC_96
R0000363,112189,January 17 2022,Complaint,SRC_200
R0000364,112711,15/05/2023,Wrong item,SRC_80
R0000365,118416,2021/01/29,,SRC_183
R0000366,122302,26-06-2021,Wrong item,SRC_170
R0000367,123773,November 05 2022,Wrong item,SRC_249
R0000368,99999999,2021/02/16,Wrong item,SRC_241
R0000369,132006,2021/10/10,Complaint,SRC_225
R0000370,99999999,2022.01.28,,SRC_110
R0000371,99999999,January 13 2021,Complaint,SRC_72
R0000372,118351,2021.12.16,,SRC_41
R0000373,104740,2022/07/06,Defect,SRC_194
R0000374,131343,June 26 2021,Wrong item,SRC_240
R0000375,128392,26-02-2021,Defect,SRC_222
R0000376,99999999,12/05/2022,,SRC_60
R0000377,99999999,2021.02.01,Complaint,SRC_195
R0000378,110064,2022/04/03,Complaint,SRC_147
R0000379,99999999,2022-12-11,Wrong item,SRC_30
R0000380,99999999,2023.06.15,Defect,SRC_70
R0000381,101138,15-07-2023,,SRC_60
R0000382,124866,06-05-2022,,SRC_72
R0000383,139570,2023/02/22,Defect,SRC_86
R0000384,127115,30-06-2024,,SRC_77
R0000385,122664,2022-07-04,Complaint,SRC_200
R0000386,111156,September 16 2021,,SRC_141
R0000387,99999999,09-03-2024,,SRC_73
R0000388,99999999,January 04 2021,,SRC_155
R0000389,99999999,06/01/2021,Defect,SRC_159
R0000390,99999999,29-10-2023,Wrong item,SRC_221
R0000391,99999999,2023-08-22,Defect,SRC_221
R0000392,126320,28/01/2023,,SRC_14
R0000393,101080,23-04-2022,Defect,SRC_202
R0000394,140450,2021-08-08,,SRC_34
R0000395,99999999,01/11/2021,Complaint,SRC_55
R0000396,99999999,2024-02-01,,SRC_211
R0000397,99999999,10-01-2022,Complaint,SRC_121
R0000398,149245,2021/05/21,Complaint,SRC_36
R0000399,128158,01-02-2022,,SRC_175
R0000400,108090,2023.11.15,Wrong item,SRC_184
R0000401,99999999,09-06-2024,,SRC_44
R0000402,133964,2023.03.04,,SRC_24
R0000403,99999999,2024-05-19,Complaint,SRC_32
R0000404,113171,21/11/2021,Complaint,SRC_85
R0000405,144608,12/01/2022,,SRC_83
R0000406,120954,2024/01/01,,SRC_59
R0000407,141568,2022.10.19,,SRC_3
R0000408,99999999,2022.10.17,Defect,SRC_42
R0000409,101290,2024-06-01,,SRC_107
R0000410,140555,2024.07.29,,SRC_96
R0000411,99999999,2023/12/18,,SRC_16
R0000412,115018,10-11-2024,Wrong item,SRC_218
R0000413,99999999,10/04/2024,,SRC_195
R0000414,99999999,December 07 2024,,SRC_161
R0000415,102879,2024-10-13,Wrong item,SRC_125
R0000416,99999999,09/12/2022,,SRC_9
R0000417,130444,2024-01-01,,SRC_109
R0000418,99999999,2023-11-01,Wrong item,SRC_222
R0000419,99999999,2021.09.22,Complaint,SRC_104
R0000420,134546,2022.03.16,Defect,SRC_230
R0000421,99999999,09/07/2024,Wrong item,SRC_141
R0000422,99999999,24-06-2022,Defect,SRC_45
R0000423,134105,2021-09-27,Complaint,SRC_185
R0000424,109198,2024-01-29,Defect,SRC_76
R0000425,99999999,2021/05/17,,SRC_107
R0000426,146885,2022-11-19,,SRC_18
R0000427,118508,2021/09/17,,SRC_115
R0000428,143899,2023-02-04,Wrong item,SRC_28
R0000429,99999999,02-01-2024,Complaint,SRC_49
R0000430,125803,26-05-2021,Defect,SRC_148
R0000431,141438,2021/06/13,Complaint,SRC_60
R0000432,135481,2021/01/31,Complaint,SRC_168
R0000433,99999999,2023.05.10,,SRC_174
R0000434,140847,06-04-2024,Wrong item,SRC_120
R0000435,144638,02-11-2024,Defect,SRC_130
R0000436,99999999,26/06/2021,,SRC_161
R0000437,99999999,August 29 2023,,SRC_182
R0000438,141703,06/07/2021,,SRC_214
R0000439,99999999,2021-06-24,Complaint,SRC_61
R0000440,105692,27/03/2024,,SRC_124
R0000441,99999999,25/04/2023,Defect,SRC_10
R0000442,107829,27-06-2024,,SRC_72
R0000443,99999999,23-07-2024,Defect,SRC_135
R0000444,99999999,19-11-2023,Complaint,SRC_40
R0000445,124348,November 28 2024,,SRC_145
R0000446,99999999,08/07/2022,Complaint,SRC_22
R0000447,99999999,2024.05.30,,SRC_247
R0000448,111165,2023/08/31,Defect,SRC_141
R0000449,120333,24/04/2022,,SRC_169
R0000450,137383,2024.07.14,Complaint,SRC_46
R0000451,140575,January 04 2023,Complaint,SRC_132
R0000452,136302,2023-08-06,Defect,SRC_37
R0000453,102701,2022/12/01,Wrong item,SRC_171
R0000454,99999999,October 14 2021,,SRC_120
R0000455,99999999,2022-03-04,,SRC_199
R0000456,99999999,2021.05.27,Defect,SRC_46
R0000457,109873,12-02-2024,Complaint,SRC_179
R0000458,145602,2024-08-26,,SRC_1
R0000459,119386,2022.09.25,,SRC_146
R0000460,99999999,21-11-2023,,SRC_215
R0000461,99999999,2023.08.19,Complaint,SRC_200
R0000462,142534,2023-09-16,,SRC_85
R0000463,128593,2021.07.01,,SRC_28
R0000464,99999999,12/02/2024,,SRC_18
R0000465,99999999,05/01/2023,Wrong item,SRC_168
R0000466,129743,11-11-2022,,SRC_19
R0000467,141732,14-07-2023,,SRC_144
R0000468,119192,September 11 2024,Wrong item,SRC_41
R0000469,99999999,2021/10/12,,SRC_125
R0000470,118643,2023/08/12,,SRC_84
R0000471,99999999,01/03/2022,,SRC_102
R0000472,141673,31-08-2023,,SRC_83
R0000473,133034,2022/04/13,Complaint,SRC_175
R0000474,118141,2021.11.11,Wrong item,SRC_137
R0000475,126528,2023.08.30,Wrong item,SRC_235
R0000476,147354,22-03-2021,,SRC_207
R0000477,99999999,11/04/2023,Defect,SRC_184
R0000478,99999999,09/12/2022,,SRC_202
R0000479,109761,2021/05/28,Defect,SRC_59
R0000480,99999999,2024/08/20,,SRC_71
R0000481,122774,July 09 2023,Wrong item,SRC_225
R0000482,109333,August 27 2021,Complaint,SRC_195
R0000483,99999999,21/02/2024,Defect,SRC_74
R0000484,100497,2023-07-22,,SRC_9
R0000485,110109,2022-12-25,Defect,SRC_92
R0000486,99999999,2021/08/13,,SRC_213
R0000487,135994,2024-07-03,Defect,SRC_113
R0000488,103358,2021-04-28,Wrong item,SRC_223
R0000489,128509,April 30 2021,Defect,SRC_71
R0000490,137575,2023/08/13,Complaint,SRC_122
R0000491,116211,27-07-2024,Defect,SRC_178
R0000492,99999999,2022/09/09,Defect,SRC_90
R0000493,136144,2021.10.28,Wrong item,SRC_95
R0000494,99999999,06-04-2024,,SRC_20
R0000495,131514,27/10/2024,,SRC_196
R0000496,119268,2022.03.01,Wrong item,SRC_103
R0000497,147940,2023/03/15,Defect,SRC_48
R0000498,99999999,2024/08/20,,SRC_121
R0000499,126880,2022.05.09,,SRC_244
R0000500,144092,2022.08.16,Complaint,SRC_190
R0000501,103494,16-05-2023,Defect,SRC_244
R0000502,99999999,28-01-2021,,SRC_95
R0000503,119415,2022-02-15,,SRC_9
R0000504,99999999,05-07-2023,Wrong item,SRC_230
R0000505,99999999,23/12/2022,Defect,SRC_159
R0000506,116939,14/03/2021,Wrong item,SRC_145
R0000507,145719,2023-07-20,Defect,SRC_150
R0000508,99999999,21-11-2021,,SRC_247
R0000509,108185,05-08-2021,Complaint,SRC_205
R0000510,140231,13/05/2024,Complaint,SRC_181
R0000511,107738,2022-08-09,Complaint,SRC_129
R0000512,99999999,2021.09.23,Wrong item,SRC_120
R0000513,105080,25/03/2022,,SRC_114
R0000514,99999999,November 14 2021,,SRC_145
R0000515,99999999,October 30 2023,Defect,SRC_30
R0000516,114795,03/05/2022,Complaint,SRC_176
R0000517,143566,2023.12.07,Complaint,SRC_133
R0000518,99999999,05/01/2022,,SRC_109
R0000519,109298,16-03-2022,,SRC_151
R0000520,99999999,2022-01-16,Wrong item,SRC_178
R0000521,126447,2023/08/30,,SRC_150
R0000522,122575,18/12/2023,Complaint,SRC_22
R0000523,107218,2023.01.18,,SRC_104
R0000524,99999999,11-08-2024,,SRC_122
R0000525,99999999,20/09/2022,Defect,SRC_118
R0000526,99999999,2023-06-28,Defect,SRC_115
R0000527,99999999,06/10/2024,Wrong item,SRC_230
R0000528,118324,06-08-2023,,SRC_223
R0000529,108675,2023-03-29,Wrong item,SRC_28
R0000530,112948,2024.07.31,Defect,SRC_112
R0000531,99999999,17/10/2022,Defect,SRC_105
R0000532,103949,September 30 2021,Complaint,SRC_215
R0000533,99999999,2021.06.15,Wrong item,SRC_20
R0000534,99999999,26/06/2021,,SRC_41
R0000535,111829,2024.01.14,,SRC_148
R0000536,103083,21/01/2023,,SRC_22
R0000537,104097,2024.05.15,Complaint,SRC_47
R0000538,104757,04/04/2023,Wrong item,SRC_245
R0000539,115504,2021-09-02,Wrong item,SRC_128
R0000540,99999999,January 11 2022,,SRC_133
R0000541,128080,2022/06/19,,SRC_239
R0000542,99999999,2024.04.21,Wrong item,SRC_216
R0000543,99999999,2022/02/25,Wrong item,SRC_152
R0000544,99999999,December 15 2022,Wrong item,SRC_191
R0000545,132697,April 09 2021,Wrong item,SRC_58
R0000546,99999999,2024/11/11,,SRC_144
R0000547,120251,20-06-2021,Complaint,SRC_99
R0000548,99999999,2024.07.21,Defect,SRC_164
R0000549,110371,04/11/2022,,SRC_34
R0000550,128991,2023.05.18,Defect,SRC_149
R0000551,130051,2023.06.28,Complaint,SRC_97
R0000552,121168,2024/12/03,,SRC_69
R0000553,123627,05-03-2023,Complaint,SRC_8
R0000554,134657,2023-04-19,,SRC_75
R0000555,99999999,2024-09-11,Wrong item,SRC_13
R0000556,109552,July 14 2023,Wrong item,SRC_185
R0000557,99999999,February 09 2022,Defect,SRC_48
R0000558,99999999,07/06/2024,Complaint,SRC_223
R0000559,99999999,July 11 2023,Wrong item,SRC_159
R0000560,99999999,15-12-2021,,SRC_227
R0000561,99999999,2022/03/26,Defect,SRC_197
